"zipcode","city","boro"
"10280","NEW YORK","MN"
"11230","BROOKLYN","BK"
"11697","BREEZY POINT","QN"
"10459","BRONX","BX"
"11451","JAMAICA","QN"
"10110","NEW YORK","MN"
"11428","QUEENS VILLAGE","QN"
"10176","NEW YORK","MN"
"11412","SAINT ALBANS","QN"
"10473","BRONX","BX"
"10047","NEW YORK","MN"
"10010","NEW YORK","MN"
"11694","ROCKAWAY PARK","QN"
"11419","SOUTH RICHMOND HILL","QN"
"10026","NEW YORK","MN"
"11101","LONG ISLAND CITY","QN"
"11104","SUNNYSIDE","QN"
"11215","BROOKLYN","BK"
"11427","QUEENS VILLAGE","QN"
"10196","NEW YORK","MN"
"10021","NEW YORK","MN"
"10309","STATEN ISLAND","SI"
"11360","BAYSIDE","QN"
"11224","BROOKLYN","BK"
"11234","BROOKLYN","BK"
"10006","NEW YORK","MN"
"11363","LITTLE NECK","QN"
"10003","NEW YORK","MN"
"11434","JAMAICA","QN"
"10203","NEW YORK","MN"
"11214","BROOKLYN","BK"
"11005","FLORAL PARK","QN"
"10169","NEW YORK","MN"
"10468","BRONX","BX"
"11209","BROOKLYN","BK"
"11692","ARVERNE","QN"
"11373","ELMHURST","QN"
"10037","NEW YORK","MN"
"11204","BROOKLYN","BK"
"10030","NEW YORK","MN"
"11372","JACKSON HEIGHTS","QN"
"10461","BRONX","BX"
"11691","FAR ROCKAWAY","QN"
"00083","CENTRAL PARK","MN"
"10455","BRONX","BX"
"10065","NEW YORK","MN"
"10075","NEW YORK","MN"
"10019","NEW YORK","MN"
"11435","JAMAICA","QN"
"11379","MIDDLE VILLAGE","QN"
"10454","BRONX","BX"
"10271","NEW YORK","MN"
"11004","GLEN OAKS","QN"
"10474","BRONX","BX"
"10128","NEW YORK","MN"
"10312","STATEN ISLAND","SI"
"11367","FLUSHING","QN"
"10115","NEW YORK","MN"
"10107","NEW YORK","MN"
"10458","BRONX","BX"
"10475","BRONX","BX"
"11232","BROOKLYN","BK"
"10162","NEW YORK","MN"
"10121","NEW YORK","MN"
"10167","NEW YORK","MN"
"10035","NEW YORK","MN"
"11226","BROOKLYN","BK"
"10170","NEW YORK","MN"
"10471","BRONX","BX"
"10009","NEW YORK","MN"
"10045","NEW YORK","MN"
"10466","BRONX","BX"
"11231","BROOKLYN","BK"
"11106","ASTORIA","QN"
"10463","BRONX","BX"
"11096","INWOOD","QN"
"11370","EAST ELMHURST","QN"
"10260","NEW YORK","MN"
"11109","LONG ISLAND CITY","QN"
"10172","NEW YORK","MN"
"11219","BROOKLYN","BK"
"10173","NEW YORK","MN"
