facdomain,facgroup,facsubgrp,total,countwithgeom,countwithoutgeom,percentwithgeom
"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,2261,2236,25,98.89
HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,1389,1374,15,98.92
"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE",PUBLIC SAFETY,POLICE SERVICES,93,92,1,98.92
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",1228,1215,13,98.94
LIBRARIES AND CULTURAL PROGRAMS,LIBRARIES,PUBLIC LIBRARIES,219,217,2,99.09
"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DOE UNIVERSAL PRE-KINDERGARTEN,1914,1901,13,99.32
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,LEGAL AND INTERVENTION SERVICES,166,165,1,99.40
"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,PRESCHOOLS FOR STUDENTS WITH DISABILITIES,191,190,1,99.48
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,610,607,3,99.51
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,WORKFORCE DEVELOPMENT,219,218,1,99.54
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,SENIOR SERVICES,450,448,2,99.56
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,2169,2165,4,99.82
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),NON-PUBLIC K-12 SCHOOLS,1128,1126,2,99.82
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,1278,1276,2,99.84
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,SOUP KITCHENS AND FOOD PANTRIES,741,740,1,99.87
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,OTHER TRANSPORTATION,186,186,0,100.00
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,AIRPORTS AND HELIPORTS,27,27,0,100.00
CORE INFRASTRUCTURE AND TRANSPORTATION,TELECOMMUNICATIONS,TELECOMMUNICATIONS,6,6,0,100.00
CORE INFRASTRUCTURE AND TRANSPORTATION,MATERIAL SUPPLIES AND MARKETS,WHOLESALE MARKETS,15,15,0,100.00
CORE INFRASTRUCTURE AND TRANSPORTATION,MATERIAL SUPPLIES AND MARKETS,MATERIAL SUPPLIES,7,7,0,100.00
ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,378,378,0,100.00
ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,2017,2017,0,100.00
ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",TRAINING AND TESTING,16,16,0,100.00
LIBRARIES AND CULTURAL PROGRAMS,CULTURAL INSTITUTIONS,HISTORICAL SOCIETIES,43,43,0,100.00
ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,519,519,0,100.00
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,202,202,0,100.00
LIBRARIES AND CULTURAL PROGRAMS,LIBRARIES,ACADEMIC AND SPECIAL LIBRARIES,27,27,0,100.00
"PARKS, GARDENS, AND HISTORICAL SITES",HISTORICAL SITES,HISTORICAL SITES,920,920,0,100.00
"PARKS, GARDENS, AND HISTORICAL SITES",PARKS AND PLAZAS,CEMETERIES,13,13,0,100.00
"PARKS, GARDENS, AND HISTORICAL SITES",PARKS AND PLAZAS,GARDENS,340,340,0,100.00
"PARKS, GARDENS, AND HISTORICAL SITES",PARKS AND PLAZAS,PARKS,415,415,0,100.00
"PARKS, GARDENS, AND HISTORICAL SITES",PARKS AND PLAZAS,PRESERVES AND CONSERVATION AREAS,114,114,0,100.00
"PARKS, GARDENS, AND HISTORICAL SITES",PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,389,389,0,100.00
"PARKS, GARDENS, AND HISTORICAL SITES",PARKS AND PLAZAS,RECREATION AND WATERFRONT SITES,631,631,0,100.00
"PARKS, GARDENS, AND HISTORICAL SITES",PARKS AND PLAZAS,"STREETSCAPES, PLAZAS, AND MALLS",551,551,0,100.00
"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE",EMERGENCY SERVICES,FIRE SERVICES,220,220,0,100.00
"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE",EMERGENCY SERVICES,OTHER EMERGENCY SERVICES,35,35,0,100.00
"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE",JUSTICE AND CORRECTIONS,COURTHOUSES AND JUDICIAL,45,45,0,100.00
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",MAINTENANCE AND GARAGES,91,91,0,100.00
"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE",PUBLIC SAFETY,OTHER PUBLIC SAFETY,34,34,0,100.00
"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,2333,2333,0,100.00
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CUSTODIAL,44,44,0,100.00
"EDUCATION, CHILD WELFARE, AND YOUTH",ADULT SERVICES,ADULT AND IMMIGRANT LITERACY,130,130,0,100.00
CORE INFRASTRUCTURE AND TRANSPORTATION,WATER AND WASTEWATER,WASTEWATER AND POLLUTION CONTROL,176,176,0,100.00
"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,147,147,0,100.00
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),GED AND ALTERNATIVE HIGH SCHOOL EQUIVALENCY,129,129,0,100.00
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,83,83,0,100.00
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,1518,1518,0,100.00
"EDUCATION, CHILD WELFARE, AND YOUTH",VOCATIONAL AND PROPRIETARY SCHOOLS,PROPRIETARY SCHOOLS,599,599,0,100.00
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CITY AGENCY PARKING,185,185,0,100.00
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,239,239,0,100.00
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PORTS AND FERRY LANDINGS,93,93,0,100.00
