facdomain,facgroup,facsubgrp,total,countwithgeom,countwithoutgeom,percentwithgeom
HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,1688,937,751,55.51
"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,FOSTER CARE SERVICES AND RESIDENTIAL CARE,61,52,9,85.25
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,NON-RESIDENTIAL HOUSING AND HOMELESS SERVICES,14,12,2,85.71
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,BUS DEPOTS AND TERMINALS,183,161,22,87.98
LIBRARIES AND CULTURAL PROGRAMS,CULTURAL INSTITUTIONS,OTHER CULTURAL INSTITUTIONS,1833,1658,175,90.45
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,612,568,44,92.81
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,391,363,28,92.84
HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,517,486,31,94.00
CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,258,243,15,94.19
LIBRARIES AND CULTURAL PROGRAMS,CULTURAL INSTITUTIONS,MUSEUMS,132,125,7,94.70
HEALTH AND HUMAN SERVICES,HEALTH CARE,RESIDENTIAL HEALTH CARE,183,174,9,95.08
CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE TRANSFER AND CARTING,167,159,8,95.21
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,310,299,11,96.45
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,PROGRAMS FOR PEOPLE WITH DISABILITIES,197,191,6,96.95
"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE",JUSTICE AND CORRECTIONS,DETENTION AND CORRECTIONAL,34,33,1,97.06
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,IMMIGRANT SERVICES,151,148,3,98.01
"EDUCATION, CHILD WELFARE, AND YOUTH",CAMPS,CAMPS,516,506,10,98.06
HEALTH AND HUMAN SERVICES,HUMAN SERVICES,FINANCIAL ASSISTANCE AND SOCIAL SERVICES,83,82,1,98.80
