overabbrev,overagency,overlevel,datasource,count
NYCHRA,NYC Human Resources Administration,City,dcas_colp,55
NYCHRA,NYC Human Resources Administration,City,hra_centers,87
NYCLAW,NYC Law Department,City,dcas_colp,9
NYCLPC,NYC Landmarks Preservation Commission,City,dcas_colp,2
NYCMO,NYC Office of the Mayor,City,dcas_colp,10
NYCOATH,NYC Office of Administrative Trials and Hearings,City,dcas_colp,5
NYCOCA,NYC Office of Court Administration,City,dcas_colp,10
NYCOCB,NYC Office of Collective Bargaining,City,dcas_colp,1
NYCOCME,NYC Office of the Medical Examiner,City,dcas_colp,4
NYCOLR,NYC Office of Labor Relations,City,dcas_colp,2
NYCOMB,NYC Office of Management and Budget,City,dcas_colp,1
NYCOPA,NYC Office of Payroll Administration,City,dcas_colp,1
NYCOURTS,NYS Unified Court System,State,nycourts_courts,14
NYCOURTS,NYS Unified Court System,State,dcas_colp,2
NYCPA-BK,NYC Public Administrators Office - Brooklyn,City,dcas_colp,1
NYCPA-BX,NYC Public Administrators Office - Bronx,City,dcas_colp,2
NYCPA-MN,NYC Public Administrators Office - Manhattan,City,dcas_colp,2
NYCPA-QN,NYC Public Administrators Office - Queens,City,dcas_colp,1
NYCPA-SI,NYC Public Administrators Office - Staten Island,City,dcas_colp,1
NYCSBS,NYC Department of Small Business Services,City,sbs_workforce1,41
NYCSBS,NYC Department of Small Business Services,City,dcas_colp,363
NYCTLC,NYC Taxi and Limousine Commission,City,dcas_colp,7
NYPD,NYC Police Department,City,dcas_colp,207
NYPL,New York Public Library,City,nypl_libraries,92
NYSDEC,NYS Department of Environmental Conservation,State,nysdec_solidwaste,154
NYSDEC,NYS Department of Environmental Conservation,State,nysdec_lands,29
NYSDOCCS,NYS Department of Corrections and Community Supervision,State,nysdoccs_corrections,3
NYSDOH,NYS Department of Health,State,hhc_hospitals,78
NYSDOH,NYS Department of Health,State,nysdoh_nursinghomes,196
NYSDOH,NYS Department of Health,State,nysdoh_healthfacilities,993
NYSDOT,NYS Department of Transportation,State,dcp_sfpsd,3
NYSOASAS,NYS Office of Alcoholism and Substance Abuse Services,State,nysoasas_programs,362
NYSOMH,NYS Office of Mental Health,State,nysomh_mentalhealth,1216
NYSOPRHP,"The New York State Office of Parks, Recreation and Historic Preservation",State,nysparks_parks,5
NYSOPRHP,"The New York State Office of Parks, Recreation and Historic Preservation",State,nysparks_historicplaces,900
NYSOPWDD,NYS Office for People With Developmental Disabilities,State,nysopwdd_providers,147
PANYNJ,Port Authority of New York and New Jersey,State,dcp_sfpsd,2
PANYNJ,Port Authority of New York and New Jersey,State,usdot_ports,8
QPL,Queens Public Library,City,qpl_libraries,68
QPL,Queens Public Library,City,dcas_colp,9
RIOC,Roosevelt Island Operating Corporation,City,dcp_sfpsd,11
TGI,Trust for Governors Island,,dcp_sfpsd,7
USCOURTS,US Courts,Federal,uscourts_courts,18
USDOT,US Department of Transportation,Federal,usdot_airports,18
USNPS,National Park Service,Federal,usnps_parks,10
,,City,dcas_colp,3
,,,doe_busroutesgarages,11
,,City,usdot_ports,11
