opabbrev,opname,optype,datasource,count
Non-public,Dia Center for the Arts,Non-public,dcla_culturalinstitutions,1
Non-public,"HB Playwrights Foundation, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,"124 East 63rd Street Realty Co., Llc",Non-public,dca_operatingbusinesses,1
Non-public,Bronx Charter School for Children,Non-public,doe_lcgms,1
Non-public,Park Fdb Llc,Non-public,dca_operatingbusinesses,1
Non-public,"Blue Pipa, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,New York Academy of Sciences,Non-public,dcla_culturalinstitutions,1
Non-public,Quik Park Hudson 200 Llc,Non-public,dca_operatingbusinesses,1
Non-public,Wiz Kids Center Inc,Non-public,dohmh_daycare,2
Non-public,Ss Joseph & Thomas School,Non-public,nysed_activeinstitutions,1
Non-public,Viznitzer Chaider Tiferes Yisroel,Non-public,dohmh_daycare,1
Non-public,Stop-Park Garage Corp.,Non-public,dca_operatingbusinesses,1
Non-public,New York City Master Chorale,Non-public,dcla_culturalinstitutions,1
Non-public,Rainbow Rhymes Learning Center,Non-public,doe_universalprek,1
Non-public,59 And 5th Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,Mt. Olivet Baptist Church Community  Meals Program,Non-public,foodbankny_foodbanks,1
Non-public,"Lynbo,Inc.",Non-public,dohmh_daycare,1
Non-public,Efficient Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,Aaron School (K-7),Non-public,nysed_activeinstitutions,1
Non-public,"Fruta Extrana, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Hindu Temple Society of North America,Non-public,dcla_culturalinstitutions,1
Non-public,Ben & Nino Autobody Corp,Non-public,dca_operatingbusinesses,2
Non-public,Friends Seminary,Non-public,nysed_activeinstitutions,1
Non-public,"Tabernacle Church of God Day Care Center, Inc.",Non-public,doe_universalprek,1
Non-public,Alpha Fundemental Preschool Inc.,Non-public,dohmh_daycare,1
Non-public,Young Men'S Christian Addociation Of Greater New York,Non-public,dohmh_daycare,1
Non-public,High Class Auto Body & Repair Shop Inc.,Non-public,dca_operatingbusinesses,1
Non-public,"Korean Church Of Queens, Inc.",Non-public,dohmh_daycare,1
Non-public,Cheryl Hercules,Non-public,dohmh_daycare,1
Non-public,Yeshivat Darkei Eres Inc Ps,Non-public,nysed_activeinstitutions,1
Non-public,NYC Department of Police,Non-public,nysomh_mentalhealth,1
Non-public,El Shaddai Ministry-Davids Star Prg,Non-public,nysed_activeinstitutions,1
Non-public,Angel Advantage Ctr,Non-public,nysed_activeinstitutions,1
Non-public,Century School Of Languages,Non-public,nysed_activeinstitutions,1
Non-public,Union United Methodist Summer Camp,Non-public,nysed_activeinstitutions,1
Non-public,Manhattan Charter School,Non-public,doe_lcgms,1
Non-public,Little Apple Corp,Non-public,dohmh_daycare,1
Non-public,Yai - Young Adult Institute,Non-public,nysopwdd_providers,1
Non-public,"Ultimate Body & Transport, Inc.",Non-public,dca_operatingbusinesses,1
Non-public,Patriot Parking Llc,Non-public,dca_operatingbusinesses,2
Non-public,Qp W. 116th Street Llc,Non-public,dca_operatingbusinesses,1
Non-public,Congregation Gfg,Non-public,nysed_activeinstitutions,1
Non-public,Climate Museum,Non-public,dcla_culturalinstitutions,1
Non-public,Bnos Spinka Boys Sch,Non-public,nysed_activeinstitutions,1
Non-public,Nycha-Linden Houses,Non-public,nysed_activeinstitutions,1
Non-public,Edison Ny Parking Llc.,Non-public,dca_operatingbusinesses,1
Non-public,Chelsea Seventh Garage Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Tyc Group Inc.,Non-public,dca_operatingbusinesses,1
Non-public,New World Garage Inc.,Non-public,dca_operatingbusinesses,1
Non-public,"Church Street School for Music and Art, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Sky Light Center,Non-public,nysomh_mentalhealth,2
Non-public,Bnai Raphael Chesed Organization,Non-public,foodbankny_foodbanks,2
Non-public,St. Theresa of Avila Community Service,Non-public,foodbankny_foodbanks,1
Non-public,The Fortune Society Inc.,Non-public,nysomh_mentalhealth,1
Non-public,Trustees of Columbia University in the City of New York,Non-public,dcla_culturalinstitutions,1
Non-public,Park 70 Llc,Non-public,dca_operatingbusinesses,1
Non-public,Impark North End Llc,Non-public,dca_operatingbusinesses,1
Non-public,Children's Orchestra Society,Non-public,dcla_culturalinstitutions,1
Non-public,"Elrac, Llc",Non-public,dca_operatingbusinesses,1
Non-public,Wellington King,Non-public,dca_operatingbusinesses,1
Non-public,Bais Yaakov D'Gur High School,Non-public,nysed_activeinstitutions,1
Non-public,Success Academy Charter School - Harlem 5,Non-public,doe_lcgms,1
Non-public,Evening Star Church,Non-public,nysed_activeinstitutions,1
Non-public,"C'E Montessori, Llc.",Non-public,dohmh_daycare,1
Non-public,Culinart Food Service,Non-public,nysed_activeinstitutions,1
Non-public,Dezzenterprise LLC,Non-public,doe_universalprek,1
Non-public,"Musica De Camara, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,"Infinity Dance Theater Company, Ltd.",Non-public,dcla_culturalinstitutions,1
Non-public,Turtle Bay Music School,Non-public,dcla_culturalinstitutions,1
Non-public,Brooklyn Hospital-Caledonia Hospital,Non-public,nysed_activeinstitutions,1
Non-public,New Heritage Theatre Group,Non-public,dcla_culturalinstitutions,1
Non-public,"Jewish Community Council of Pelham Parkway, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Mushroom House Day Care LLC,Non-public,doe_universalprek,1
Non-public,Usda-Ceo P004k At Ps 7k,Non-public,nysed_activeinstitutions,1
