opabbrev,opname,optype,datasource,count
Non-public,Usda-Ceo P176x At Ps 111x,Non-public,nysed_activeinstitutions,1
Non-public,"Sarnelli Bros., Inc.",Non-public,dca_operatingbusinesses,1
Non-public,J & K Towing Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Two Bridges Summer Camp,Non-public,nysed_activeinstitutions,1
Non-public,Louis Armstrong House,Non-public,dcla_culturalinstitutions,1
Non-public,67th St. & 2nd Ave. Garage Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Fairweather Bible Camp,Non-public,nysed_activeinstitutions,1
Non-public,Tiffany Beauty Academy Corp.,Non-public,nysed_activeinstitutions,1
Non-public,East 28th Street Garage Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Ny Hospital Medical Archives,Non-public,nysed_activeinstitutions,1
Non-public,"Police Athletic League, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Northern Manhattan Nursing Home Inc,Non-public,nysdoh_healthfacilities,1
Non-public,St. Margaret Mary Church,Non-public,foodbankny_foodbanks,1
Non-public,Genesis International Beauty School Inc.,Non-public,nysed_activeinstitutions,1
Non-public,Bronx Arts Ensemble,Non-public,dcla_culturalinstitutions,1
Non-public,Highbridge Advisory Council Head Start,Non-public,doe_universalprek,1
Non-public,Boricua College - Brooklyn,Non-public,nysed_activeinstitutions,1
Non-public,"Yorkville Car Park, Llc",Non-public,dca_operatingbusinesses,1
Non-public,JUAN PABLE VALDEZ,Non-public,nysdec_solidwaste,1
Non-public,23-24 Operating Corp.,Non-public,dca_operatingbusinesses,1
Non-public,United Lubavitcher Yeshiva,Non-public,nysed_activeinstitutions,1
Non-public,"581 St. Johns Place, Llc",Non-public,dca_operatingbusinesses,1
Non-public,Ethical Culture The Fieldston Lower School,Non-public,nysed_activeinstitutions,1
Non-public,"Chinatown Manpower Project, Inc.",Non-public,nysed_activeinstitutions,2
Non-public,Itty Bitty Adventures Preschool,Non-public,doe_universalprek,1
Non-public,"Theracare Of New York, Inc.",Non-public,dohmh_daycare,1
Non-public,Bright Stars Group Day Care I,Non-public,nysed_activeinstitutions,1
Non-public,Staten Island Liberian Community,Non-public,foodbankny_foodbanks,1
Non-public,God's Battalion Prayer Church,Non-public,foodbankny_foodbanks,1
Non-public,Grand Street Campus,Non-public,nysed_activeinstitutions,1
Non-public,Emerald Isle Immigration Center,Non-public,dcla_culturalinstitutions,1
Non-public,Pre-K Center At 106-02 Northern Blvd - Queens,Non-public,nysed_activeinstitutions,1
Non-public,Creston Avenue Baptist Church,Non-public,nysed_activeinstitutions,1
Non-public,Tbd Five Management Inc.,Non-public,dca_operatingbusinesses,1
Non-public,LALO AUTO REPAIRS INC,Non-public,nysdec_solidwaste,1
Non-public,Man. Transition Ctr Baruch College,Non-public,nysed_activeinstitutions,1
Non-public,"Qbi, The Training Institute, Inc.",Non-public,nysed_activeinstitutions,1
Non-public,Samaritan Daytop Village Inc.,Non-public,nysomh_mentalhealth,1
Non-public,Ultissima Beauty Inst At Bensonhur,Non-public,nysed_activeinstitutions,1
Non-public,Bedford Stuyvesant ECDC 510,Non-public,doe_universalprek,1
Non-public,United Activities Unlimited,Non-public,dohmh_daycare,9
Non-public,"Volunteers  Of America-Greater Ny, Inc",Non-public,nysed_activeinstitutions,1
Non-public,Anthony'S Autobody & Towing Inc,Non-public,dca_operatingbusinesses,1
Non-public,1150 River Parking Corp,Non-public,dca_operatingbusinesses,1
Non-public,"Uptown Health Care Management, Inc",Non-public,nysdoh_healthfacilities,1
Non-public,The 30th Avenue School (G&T Citywide) Annex,Non-public,nysed_activeinstitutions,1
Non-public,Magna Institute,Non-public,nysed_activeinstitutions,1
Non-public,Camp Bethel,Non-public,nysed_activeinstitutions,1
Non-public,"Solid Gold Towing, Inc.",Non-public,dca_operatingbusinesses,1
Non-public,Kesser Malka,Non-public,nysed_activeinstitutions,1
Non-public,"Together in Dance, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,"T.R. Little People, Ltd.",Non-public,dohmh_daycare,1
Non-public,Caribbean Women'S Health Assoc,Non-public,nysed_activeinstitutions,1
Non-public,The Children'S Aid To Society At Ps 8,Non-public,nysed_activeinstitutions,1
Non-public,Urban Strategies 5 - Georgia L. McMurray ECDC,Non-public,doe_universalprek,1
Non-public,Urban Health Plan Inc,Non-public,nysdoh_healthfacilities,4
Non-public,Healthy Choices,Non-public,nysed_activeinstitutions,1
Non-public,Covenant House,Non-public,nysomh_mentalhealth,1
Non-public,Kingsborough Summer Lunch,Non-public,nysed_activeinstitutions,1
Non-public,C & C Parking Lot Corp,Non-public,dca_operatingbusinesses,1
Non-public,Brooklyn Kids Preparatory School,Non-public,nysed_activeinstitutions,1
Non-public,Soundview Recovery Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Efficient Care Traning Center Inc.,Non-public,nysed_activeinstitutions,1
Non-public,Prospect Park Bnos Leah High School,Non-public,nysed_activeinstitutions,1
Non-public,P469x At X042,Non-public,nysed_activeinstitutions,1
Non-public,Lojca Llc,Non-public,dohmh_daycare,1
Non-public,Gospel Tabernacle Church of Jesus Christ Inc.,Non-public,foodbankny_foodbanks,1
Non-public,Good News Deliverance Tabernacle,Non-public,foodbankny_foodbanks,1
Non-public,Catholic Charities Of Staten Island  Inc,Non-public,nysopwdd_providers,1
Non-public,Pre-K Center At 50-15 44 Street,Non-public,nysed_activeinstitutions,1
Non-public,Christine Valmy Intntl School,Non-public,nysed_activeinstitutions,1
Non-public,"Primary Stages Company, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Children'S Aid To Society Ps 5 Head Start,Non-public,nysed_activeinstitutions,1
Non-public,"Staten Island Ballet Theater, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Advanced Center for Psychotherapy Inc.,Non-public,nysomh_mentalhealth,2
Non-public,Cu Again Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Nycha-Highbridge,Non-public,nysed_activeinstitutions,1
Non-public,Mtp 57 Llc,Non-public,dca_operatingbusinesses,2
Non-public,Brown Entities Inc,Non-public,dca_operatingbusinesses,1
Non-public,Grand St Settlement,Non-public,doe_universalprek,1
Non-public,43-25 Hunter Street Parking Corp.,Non-public,dca_operatingbusinesses,1
Non-public,University Community Social Services,Non-public,foodbankny_foodbanks,1
Non-public,New York Dance Center,Non-public,dcla_culturalinstitutions,1
Non-public,Dodge Ymca,Non-public,nysed_activeinstitutions,1
Non-public,"Hamilton Park Multicare, LLC",Non-public,nysdoh_healthfacilities,1
Non-public,Murray Hill Neigh Assoc. Summer,Non-public,nysed_activeinstitutions,1
Non-public,"198 Body Shop, Inc",Non-public,dca_operatingbusinesses,1
Non-public,Bushwick United HDFC 2,Non-public,doe_universalprek,1
Non-public,"Empire Technology Center Of New York, Inc.",Non-public,nysed_activeinstitutions,1
Non-public,Happy Dragon Children and Family Center,Non-public,doe_universalprek,1
Non-public,Nycha-Davidson,Non-public,nysed_activeinstitutions,1
Non-public,Portfolio School,Non-public,nysed_activeinstitutions,1
Non-public,"Lesbian and Gay Community Services Center, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Sal'S Metal Corp.,Non-public,dca_operatingbusinesses,1
Non-public,"Incare Metal Holdings, Corp.",Non-public,dca_operatingbusinesses,1
Non-public,CSI Foundation,Non-public,dcla_culturalinstitutions,1
Non-public,Bard College At Brooklyn Public Central Library,Non-public,nysed_activeinstitutions,1
Non-public,Mesivta Yeshiva Rabbi Chaim Berlin,Non-public,nysed_activeinstitutions,1
