facilityname,facilityaddress,boro,zipcode,latitude,longitude
Engine 261/Ladder 116,37-20 29 street,Queens,11101,40.755397,-73.9354517
Marine 1,Little West 12th Street/Hudson River,Manhattan,10014,40.7406884,-74.0118215
Engine 307/Ladder 154,81-17 Northern Blvd,Queens,11372,40.755805,-73.8877877
Engine 52/Ladder 52,4550 Henry Hudson4550 Parkway East,Bronx,10471,40.8921302,-73.9097574
Engine 83/Ladder 29,618 E 138th St,Bronx,10454,40.805801,-73.9179867
